Designator,Mid X,Mid Y,Rotation,Layer
C1,34.25,-51,270,top
C10,72.95,-40.0125,0,top
C11,72.95,-38.9625,0,top
C12,80.415,-50.615,90,top
C13,78.31,-46.3625,0,top
C14,78.31,-45.3625,0,top
C15,80.35,-42.9125,90,top
C16,78.93,-43.3125,0,top
C2,43.5,-54.5,0,top
C3,43.5,-56,0,top
C4,43.5,-53,0,top
C5,37.7625,-41.1125,180,top
C6,35.6625,-45.7125,270,top
C7,40.9625,-45.4625,90,top
C8,71.05,-40.0125,180,top
C9,66.915,-50.515,90,top
J1,58.03,-33.02,180,bottom
J2,86.175,-43.35,180,top
L1,76.81,-44.8475,90,top
L2,77.075,-43.3125,0,top
L3,75.625,-43.7375,270,top
R1,44.3,-38.1,180,top
R2,31.9,-38.1,180,top
R3,38.3,-49.2125,0,top
R4,35.6625,-39.2625,180,top
R5,35.6625,-37.7625,180,top
R6,41.1625,-42.9125,180,top
R7,35.4125,-42.4625,270,top
R8,75.89,-39.8225,270,top
U1,38.3,-45.2125,0,top
U2,36.75,-55,270,top
U3,38.4,-39.1125,180,top
U4,72.5,-43.5,0,top
X1,73.675,-50.515,0,top
